FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,C2P,0.00636667,0.00636667,0.0119375,0.01074375,0.02467084,0.04655626,0.06923752,0.04297501,0.05172917,0.06963544,0.06247294,0.0592896,0.04297501,0.03899584,0.04058751,0.06605418,0.04775001,0.04854584,0.03342501,0.03979167,0.02944584,0.014325,0.01273334,0.01074375
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,B,0.00379613,0.00325383,0.0005423,0.00325383,0.02277679,0.09273408,0.13232231,0.09056486,0.11063013,0.09056486,0.07863416,0.08568412,0.08459951,0.08243029,0.07375342,0.0829726,0.0721265,0.06507655,0.07049959,0.05856889,0.04501128,0.03741901,0.02819984,0.01084609
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,BA,0.0,0.0,0.0,0.0,0.0,0.00114111,0.00175556,0.00228223,0.00201889,0.00228223,0.00184334,0.00175556,0.00237001,0.00210667,0.00228223,0.00219445,0.00219445,0.00219445,0.00149223,0.00201889,0.00201889,0.00210667,0.00412557,0.00087778
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,TX,0.44109634,0.33224794,0.31724719,0.31563555,0.27336071,0.47295742,1.10038535,1.36630768,1.49090066,1.4750321,1.64785062,1.61152649,1.42507093,1.59231067,1.53689468,1.8623241,1.91327706,1.8692666,1.87955637,1.82451231,1.62565944,1.30171769,0.97715607,0.64614787
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,MB,0.00072371,0.00072371,0.00217112,0.00144742,0.01230303,0.03835652,0.05717293,0.05065956,0.04486989,0.04631731,0.04052764,0.03835652,0.03908023,0.03980394,0.03473798,0.03835652,0.03401427,0.03546169,0.03763281,0.03835652,0.03546169,0.0275009,0.02243495,0.00723708
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,INT,0.00885789,0.00805262,0.00885789,0.00724735,0.04428942,0.08616305,0.11354196,0.11193144,0.11112617,0.10790513,0.10146303,0.0789157,0.09663145,0.10871039,0.11998406,0.12562089,0.12320511,0.11434723,0.11112617,0.10468408,0.08696831,0.04992625,0.03865258,0.0169105
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,ESP,0.15687647,0.11826072,0.11102026,0.10136633,0.19066524,0.43684061,0.70715082,0.55510132,0.46580242,0.39339789,0.35960911,0.43684061,0.38133047,0.50200467,0.35236866,0.44408106,0.33788777,0.27755066,0.2872046,0.30651247,0.28479112,0.22204053,0.26789673,0.18583827
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,M,0.18041903,0.15945749,0.11828302,0.14373632,0.11528851,0.46864031,1.09224634,1.19855133,1.03984247,0.85118855,0.96423118,0.96572843,1.23673129,1.30111319,1.1948082,1.21951288,1.18507605,1.1723494,0.92380534,0.84070777,0.7853094,0.66627776,0.55922414,0.32714986
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,AL,0.00690654,0.0,0.0,0.0,0.00572738,0.01179166,0.00774881,0.00522202,0.0038744,0.00454821,0.00471666,0.00640119,0.00606428,0.00471666,0.00555893,0.00572738,0.00522202,0.00522202,0.00640119,0.00555893,0.00606428,0.00656964,0.01246547,0.01010714
11,2856,39,42,4.728607,-74.05397,NHabil,PAR,AUT,0.22877042,0.17231723,0.16453723,0.16370137,0.14177593,0.24529487,0.57070439,0.70862246,0.77324142,0.76501135,0.85464203,0.83580287,0.73909947,0.82583676,0.79709579,0.96587666,0.99230292,0.96947731,0.97481401,0.94626593,0.84313278,0.67512348,0.50679269,0.33511844
