FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,C2P,0.00049008,0.00049008,0.0009189,0.00082701,0.00189907,0.00358372,0.00532963,0.00330805,0.0039819,0.00536026,0.00480893,0.00456387,0.00330805,0.00300175,0.00312427,0.0050846,0.00367561,0.00373686,0.00257293,0.003063,0.00226662,0.00110268,0.00098017,0.00082701
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,B,0.00095674,0.00082007,0.00013668,0.00082007,0.00574046,0.02337188,0.03334935,0.02282517,0.02788225,0.02282517,0.01981826,0.02159507,0.02132172,0.02077501,0.01858816,0.02091168,0.01817813,0.01640132,0.0177681,0.01476119,0.01134425,0.00943076,0.00710724,0.00273355
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,BA,0.0,0.0,0.0,0.0,0.0,0.00177681,0.00273355,0.00355362,0.00314359,0.00355362,0.00287023,0.00273355,0.0036903,0.00328026,0.00355362,0.00341694,0.00341694,0.00341694,0.00232352,0.00314359,0.00314359,0.00328026,0.00642385,0.00136678
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,TX,0.01573339,0.01185089,0.01131583,0.01125835,0.00975045,0.01686984,0.03924944,0.04873458,0.05317867,0.05261265,0.05877688,0.05748125,0.0508306,0.05679584,0.05481922,0.0664269,0.06824433,0.06667454,0.06704156,0.0650782,0.05798535,0.04643073,0.034854,0.02304733
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,MB,0.00011736,0.00011736,0.00035207,0.00023471,0.00199505,0.00621986,0.00927111,0.00821491,0.00727606,0.00751077,0.00657193,0.00621986,0.00633721,0.00645457,0.00563308,0.00621986,0.00551572,0.00575044,0.0061025,0.00621986,0.00575044,0.00445952,0.00363803,0.00117356
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,INT,0.00129092,0.00117356,0.00129092,0.0010562,0.00645458,0.01255707,0.01654717,0.01631246,0.0161951,0.01572568,0.01478684,0.01150087,0.0140827,0.01584303,0.01748602,0.01830751,0.01795544,0.01666453,0.0161951,0.01525625,0.01267443,0.00727606,0.00563308,0.00246448
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,ESP,0.00762813,0.00575044,0.00539836,0.00492895,0.00927111,0.0212414,0.03438525,0.02699183,0.02264967,0.019129,0.01748602,0.0212414,0.01854222,0.02441001,0.01713395,0.02159347,0.01642982,0.01349592,0.01396535,0.01490419,0.01384798,0.01079674,0.01302649,0.0090364
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,M,0.00388405,0.00343279,0.00254639,0.00309435,0.00248192,0.01008886,0.02351381,0.02580234,0.02238567,0.01832434,0.02075791,0.02079014,0.02662428,0.02801029,0.02572176,0.0262536,0.02551225,0.02523827,0.01988763,0.01809871,0.01690609,0.01434359,0.01203894,0.00704286
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,AL,0.00560378,0.0,0.0,0.0,0.00464704,0.00956744,0.00628717,0.00423701,0.00314359,0.0036903,0.00382698,0.00519375,0.0049204,0.00382698,0.00451036,0.00464704,0.00423701,0.00423701,0.00519375,0.00451036,0.0049204,0.00533043,0.01011415,0.00820066
11,2856,39,42,4.728607,-74.05397,NHabil,PM2.5 BRAKE,AUT,0.06111191,0.04603145,0.04395316,0.04372988,0.03787289,0.06552611,0.15245342,0.18929575,0.20655754,0.20435902,0.22830225,0.22326971,0.19743714,0.22060744,0.2129298,0.25801658,0.26507588,0.25897843,0.26040404,0.25277793,0.22522776,0.1803471,0.13538055,0.08952087
