FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,C2P,0.22884406,0.22884406,0.4290826,0.38617435,0.88677071,1.67342216,2.4886791,1.54469738,1.85935795,2.50298185,2.2455323,2.13111028,1.54469738,1.40166984,1.45888085,2.37425707,1.71633042,1.74493592,1.2014313,1.43027536,1.05840376,0.51489913,0.45768811,0.38617435
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,B,0.13676985,0.1172313,0.01953855,0.1172313,0.82061912,3.34109213,4.76740631,3.26293793,3.98586429,3.26293793,2.83308982,3.08709097,3.04801387,2.96985967,2.65724286,2.98939822,2.59862721,2.34462606,2.54001156,2.11016345,1.62169969,1.34815998,1.01600462,0.39077101
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,BA,0.0,0.0,0.0,0.0,0.0,0.05173508,0.07959244,0.10347017,0.0915313,0.10347017,0.08357206,0.07959244,0.10744979,0.09551092,0.10347017,0.09949054,0.09949054,0.09949054,0.06765357,0.0915313,0.0915313,0.09551092,0.18704222,0.03979622
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,TX,26.14706554,19.69481047,18.80560447,18.71006995,16.20412578,28.03570969,65.22803648,80.99123367,88.3767876,87.43613994,97.6803809,95.52717961,84.47456956,94.38811408,91.10319606,110.39382199,113.41418285,110.80535535,111.41530657,108.15243498,96.36494393,77.16250372,57.92331946,38.30199708
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,MB,0.02596818,0.02596818,0.07790455,0.05193637,0.44145912,1.37631372,2.0514865,1.81777284,1.61002738,1.66196374,1.45421827,1.37631372,1.40228191,1.42825009,1.24647281,1.37631372,1.22050462,1.27244099,1.35034554,1.37631372,1.27244099,0.98679097,0.80501369,0.25968183
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,INT,0.31696586,0.28815078,0.31696586,0.25933569,1.58482929,3.08321333,4.06292598,4.00529582,3.97648074,3.86122043,3.63069981,2.82387763,3.45780933,3.89003552,4.29344659,4.49515214,4.40870691,4.09174105,3.97648074,3.74596012,3.1120284,1.78653483,1.38312374,0.60511663
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,ESP,5.54262753,4.17828845,3.92247487,3.5813901,6.73642424,15.43408593,24.98445954,19.61237438,16.45734023,13.89920445,12.70540775,15.43408593,13.47284849,17.73640814,12.44959417,15.6898995,11.93796701,9.80618719,10.14727196,10.82944151,10.06200076,7.84494976,9.46510242,6.56588185
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,M,5.7693353,5.09903908,3.7823858,4.59631692,3.68662919,14.98590828,34.92722073,38.32658012,33.25148019,27.21881424,30.83362598,30.88150428,39.5474768,41.60624375,38.20688436,38.99687633,37.89567541,37.48870985,29.54091185,26.88366613,25.11216898,21.30584404,17.8825455,10.46140881
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,AL,0.27728147,0.0,0.0,0.0,0.22994073,0.47340739,0.31109629,0.20965184,0.15554814,0.18259999,0.18936296,0.25699258,0.24346666,0.18936296,0.22317777,0.22994073,0.20965184,0.20965184,0.25699258,0.22317777,0.24346666,0.26375555,0.50045924,0.40577776
11,2856,39,42,4.728607,-74.05397,NHabil,TOG,AUT,9.38145186,7.06641117,6.74736799,6.71309062,5.8139689,10.05908905,23.40353195,29.05929761,31.7092018,31.37170157,35.04729007,34.27473093,30.30910317,33.86603925,32.68742514,39.60881669,40.69250885,39.75647304,39.97532085,38.80461691,34.57531709,27.68556618,20.78263168,13.74258771
