ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
42,39,4.728607,-74.05397,PM10 BRAKE,g/h,3.07543557,1.86026788,1.74575778,2.43784248,7.6380383,24.87338056,37.29310995,28.12286427,27.91706869,24.69103005,26.4570727,25.14676201,25.95050953,28.08448706,30.4679531,34.82442565,33.83916259,31.80811847,27.2827679,25.33224919,22.83271025,18.381258,11.36923808,5.9141649,3.07543557,
42,39,4.728607,-74.05397,PM10 TIRE,g/h,0.397074,0.23087956,0.20964808,0.2791185,0.82701576,3.08862476,4.93854903,3.67915604,3.73884751,3.48330867,3.68452743,3.55295131,3.61661034,3.89598372,4.20442383,4.51764996,4.43514763,4.37388742,3.89945364,3.67362915,3.3170463,2.64117503,1.55102024,0.75612388,0.397074,
42,39,4.728607,-74.05397,PCA,g/h,0.01388582,0.00949139,0.00982482,0.01413191,0.03965514,0.09192044,0.10731822,0.09819758,0.10364208,0.09163992,0.10786567,0.09822826,0.09956047,0.10148049,0.10481008,0.11366069,0.11477406,0.10522064,0.08694629,0.08014996,0.07192911,0.06150245,0.04171519,0.02578798,0.01388582,
53,37,4.8272,-74.072,ISOP,mol/h,0.00162966,0.00102607,0.00107656,0.00151795,0.00460023,0.0102958,0.01113034,0.01146468,0.01285072,0.01186221,0.01321286,0.01205613,0.01198486,0.01197931,0.01227736,0.01269775,0.0132007,0.01190188,0.01002654,0.0094663,0.00863097,0.00741537,0.00506086,0.00328859,0.00162966,
42,39,4.728607,-74.05397,PCL,g/h,0.00429903,0.00299979,0.00318514,0.00466096,0.01294137,0.0268277,0.02663857,0.02648051,0.02966625,0.02667796,0.03220693,0.02881503,0.0291133,0.02914915,0.02954971,0.03090893,0.03144964,0.02744306,0.02290937,0.02225682,0.02027084,0.01752805,0.01218519,0.00809151,0.00429903,
53,37,4.8272,-74.072,PSI,g/h,0.10166377,0.07059197,0.0745246,0.10862321,0.30224896,0.64332637,0.66622662,0.64770803,0.71505905,0.64060151,0.76856005,0.69061042,0.69828061,0.70223318,0.71511565,0.75446815,0.76617361,0.67732539,0.56424291,0.54102871,0.49096535,0.42321563,0.29227637,0.1907655,0.10166377,
53,37,4.8272,-74.072,PM2.5,g/h,21.29450583,14.09039832,14.55012236,21.03531263,60.7602596,137.43770404,156.04281294,149.43631039,160.9292781,144.36774184,165.77069062,150.74692538,152.17355566,154.18563419,158.47350519,168.84025091,172.48285733,157.65911629,131.38644387,123.59737198,112.18251311,96.03748923,65.52096146,41.52772833,21.29450583,
53,37,4.8272,-74.072,BEN,mol/h,0.10298807,0.07119389,0.06698462,0.08562852,0.29020327,1.05589571,1.78304844,1.26151899,1.02766719,0.73281162,0.82000968,0.79038523,0.84506801,0.95574789,1.0967277,1.56454499,1.47794506,1.38783797,1.00791971,0.70502331,0.57112246,0.48145529,0.33072578,0.16081966,0.10298807,
53,37,4.8272,-74.072,PM 2.5 TIRE,g/h,0.79212416,0.46058238,0.41822772,0.55681447,1.64981698,6.16150974,9.85193005,7.33956058,7.45863891,6.94886305,7.35027511,7.08779341,7.21478742,7.77211078,8.38741957,9.01227737,8.84769208,8.72548207,7.77903219,7.32853416,6.6171859,5.26888797,3.09413493,1.50839392,0.79212416,
53,37,4.8272,-74.072,PNO3,g/h,0.08375336,0.05818611,0.06138904,0.08945363,0.24908861,0.53099387,0.55183841,0.53556344,0.58964137,0.52737603,0.6326987,0.56859865,0.57501691,0.5784705,0.58953045,0.62370238,0.63318081,0.56004137,0.46545535,0.44502809,0.40355817,0.34814416,0.24066892,0.15705893,0.08375336,
42,39,4.728607,-74.05397,PM10,g/h,1.75188912,1.15839577,1.20109021,1.73274282,5.02350692,11.38198929,12.93815594,12.40425905,13.34787852,11.9332396,13.70610118,12.46364137,12.59184599,12.76033872,13.08928486,13.96614472,14.26214747,13.04725755,10.88731289,10.20821916,9.25021838,7.90634459,5.39831885,3.41417496,1.75188912,
53,37,4.8272,-74.072,UNR,mol/h,1.72323823,1.09076334,1.00617292,1.31259507,4.01275929,14.75545722,24.23526596,17.67929888,16.40118257,13.94193422,15.1244747,14.56852103,15.06228985,16.47542271,18.14360181,21.75638889,21.03160875,20.44164466,16.78910616,14.27527399,12.46967766,10.11355512,6.20226423,3.03960432,1.72323823,
53,37,4.8272,-74.072,PEC,g/h,9.84644389,6.36976665,6.60442059,9.59894402,28.68749361,61.5186242,65.60198759,67.54240138,74.41420897,67.31951408,75.82633731,68.51047556,68.87485364,69.0807569,70.45837432,74.13405584,76.79192745,69.1489591,57.44801457,54.93627302,50.41315505,43.57282473,30.30782373,20.19731684,9.84644389,
53,37,4.8272,-74.072,FORM,mol/h,0.23333458,0.15218449,0.15513159,0.21390148,0.68073464,1.80416148,2.36535775,1.99491775,1.9693349,1.65106232,1.84766591,1.70939484,1.74976665,1.8363199,1.97548061,2.38827548,2.35322298,2.1023013,1.65004295,1.39686636,1.22619211,1.04470403,0.72097276,0.43758185,0.23333458,
42,39,4.728607,-74.05397,PSI,g/h,0.0076442,0.00530789,0.00560357,0.0081675,0.02272646,0.04837251,0.05009438,0.04870198,0.05376616,0.04816761,0.05778895,0.05192786,0.05250453,0.05280177,0.0537704,0.05672938,0.05760954,0.05092891,0.0424261,0.04068062,0.03691628,0.03182207,0.02197666,0.01434386,0.0076442,
42,39,4.728607,-74.05397,PMOTHR,g/h,0.04657411,0.03152157,0.03254281,0.04654152,0.12997404,0.30925367,0.36914401,0.33348255,0.35386872,0.31596455,0.36930392,0.33783454,0.34224978,0.34985594,0.36096159,0.38633557,0.38995253,0.36148699,0.30368316,0.28229325,0.25370075,0.21463998,0.1429014,0.08654232,0.04657411,
53,37,4.8272,-74.072,PMN,g/h,0.00040447,0.00024277,0.00023688,0.00031863,0.00090735,0.00268804,0.00383583,0.00333962,0.00353095,0.00332264,0.00359967,0.00340552,0.00339122,0.00349751,0.00366644,0.003759,0.00385674,0.00384547,0.00335061,0.00309188,0.00278554,0.00229932,0.00142894,0.00077591,0.00040447,
42,39,4.728607,-74.05397,PSO4,g/h,0.04453605,0.02552608,0.02454213,0.03657577,0.10984258,0.32366355,0.47088124,0.39054751,0.38637893,0.34052675,0.36943081,0.34980106,0.35519126,0.37202416,0.39556773,0.43793306,0.44320093,0.43601309,0.37193581,0.34054673,0.30699208,0.2536814,0.16867872,0.08384406,0.04453605,
42,39,4.728607,-74.05397,MEOH,mol/h,6.164e-05,3.554e-05,3.27e-05,4.157e-05,9.209e-05,0.00038269,0.00061271,0.0004582,0.00052858,0.00055743,0.00060071,0.00058254,0.0005759,0.00060453,0.00063674,0.00057699,0.00058306,0.00060932,0.00059223,0.00059912,0.00054947,0.00043156,0.00023604,0.00011167,6.164e-05,
53,37,4.8272,-74.072,PMG,g/h,0.00861595,0.00568118,0.00563495,0.007878,0.02254149,0.06194607,0.0866245,0.0728929,0.07174229,0.06212464,0.07057773,0.06586126,0.0670222,0.06990392,0.07388054,0.08347,0.08361704,0.08095326,0.06628123,0.05773209,0.05094364,0.04293822,0.02823096,0.01569196,0.00861595,
42,39,4.728607,-74.05397,BEN,mol/h,0.00774379,0.00535316,0.00503667,0.00643853,0.02182076,0.07939407,0.13406956,0.09485514,0.07727154,0.05510098,0.06165752,0.05943004,0.0635417,0.07186386,0.08246428,0.11764004,0.11112847,0.10435323,0.07578667,0.05301155,0.04294338,0.03620124,0.02486768,0.01209223,0.00774379,
53,37,4.8272,-74.072,IOLE,mol/h,0.15595958,0.10341714,0.09735392,0.12691144,0.4077513,1.46291351,2.3360154,1.6223778,1.46223627,1.17814788,1.29951915,1.24637985,1.31304513,1.46749463,1.65117546,2.12249639,1.99960793,1.83647183,1.45481658,1.1992582,1.03385203,0.83612692,0.52323637,0.26471611,0.15595958,
53,37,4.8272,-74.072,PNH4,g/h,0.22241157,0.1498011,0.15189398,0.21517608,0.60916992,1.53796359,1.98195368,1.72914494,1.75590664,1.53402679,1.77450408,1.63621371,1.66225141,1.7153715,1.79397702,1.99219247,2.00167744,1.88972039,1.55104224,1.38323657,1.22911659,1.043485,0.69595541,0.40856177,0.22241157,
42,39,4.728607,-74.05397,PAR,mol/h,0.78432335,0.5161126,0.48536001,0.63278619,2.02442317,7.18871162,11.62921227,8.34211424,7.44749937,5.969764,6.57031823,6.30296216,6.60259862,7.31096872,8.17640428,10.48637677,9.99863876,9.40440646,7.38436796,5.9488514,5.09677049,4.17376357,2.6587456,1.33612076,0.78432335,
42,39,4.728607,-74.05397,PAL,g/h,0.0025613,0.00173229,0.00177638,0.0025348,0.00712507,0.01727798,0.02121771,0.01893104,0.01970312,0.01740557,0.02028018,0.0185971,0.01886269,0.01934576,0.02007554,0.02186992,0.02203702,0.02054795,0.01704509,0.01555344,0.01391129,0.01180859,0.00789648,0.00473799,0.0025613,
42,39,4.728607,-74.05397,PH2O,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,39,4.728607,-74.05397,SO2,g/h,1.41123431,0.83752764,0.74085665,0.96350775,2.70547928,11.10316727,18.79746105,13.60009673,13.46210549,12.49179952,13.27001911,12.89201518,13.14538151,14.26298951,15.46833157,16.73138462,16.37096491,16.54363957,14.64712468,13.55087413,12.1518699,9.6513752,5.55926283,2.5954629,1.41123431,
42,39,4.728607,-74.05397,CO,g/h,302.17882551,210.95620599,201.95915761,259.07819754,877.03659601,3169.69271277,5032.9285447,3308.99043798,2834.15447005,2103.40557081,2370.19463791,2272.51865537,2452.82996415,2822.66954422,3271.35940733,4581.98292763,4209.72639901,3671.86223528,2754.7093188,2119.01895774,1774.04886099,1432.4815243,927.00325401,476.35503996,302.17882551,
42,39,4.728607,-74.05397,UNR,mol/h,0.1295724,0.08201582,0.07565537,0.09869558,0.30172428,1.10948085,1.82227926,1.32932806,1.23322491,1.04831105,1.13722774,1.09542486,1.13255195,1.23880716,1.36423961,1.63588946,1.58139235,1.53703224,1.2623934,1.07337529,0.9376103,0.76045055,0.46635581,0.22855157,0.1295724,
42,39,4.728607,-74.05397,FORM,mol/h,0.0175447,0.01144296,0.01166455,0.0160835,0.05118526,0.1356571,0.17785413,0.1500003,0.14807671,0.1241454,0.13892825,0.12853149,0.13156709,0.13807517,0.14853878,0.17957733,0.1769417,0.15807462,0.12406875,0.10503208,0.09219888,0.07855256,0.05421083,0.03290231,0.0175447,
53,37,4.8272,-74.072,PM2.5 BRAKE,g/h,5.11268055,3.09255643,2.90219295,4.05273322,12.69767851,41.35015157,61.99695227,46.75206671,46.40998739,41.04696081,43.98287708,41.80457997,43.14075666,46.68834432,50.65068565,57.89299394,56.25503973,52.87851252,45.35549464,42.11295725,37.95767305,30.55745502,18.90049244,9.83185645,5.11268055,
53,37,4.8272,-74.072,ALDX,mol/h,0.05499493,0.03597275,0.0365088,0.05006539,0.15876093,0.42663151,0.56773014,0.47595243,0.46760056,0.39207997,0.43847484,0.4064674,0.41611927,0.4374192,0.47088441,0.56902123,0.56046976,0.50451866,0.39627259,0.33399428,0.29259679,0.24894588,0.17052887,0.10277517,0.05499493,
53,37,4.8272,-74.072,OLE,mol/h,0.87571795,0.55121424,0.51419826,0.6775638,2.05447823,7.24930003,11.55311987,8.55577,8.15275145,7.07173906,7.67582535,7.35971574,7.57687667,8.22827946,9.00056032,10.5465302,10.23361134,9.87837347,8.2238257,7.16603179,6.31254331,5.11705037,3.13089588,1.57733479,0.87571795,
42,39,4.728607,-74.05397,UNK,mol/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,39,4.728607,-74.05397,PK,g/h,0.00078612,0.00053656,0.00055461,0.00079733,0.00223943,0.00521909,0.00613689,0.00559711,0.00588915,0.00520139,0.00611427,0.00557262,0.00564905,0.0057626,0.00595747,0.00647386,0.00653574,0.00600448,0.00495752,0.00455833,0.0040881,0.00349454,0.0023691,0.00145905,0.00078612,
