ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
53,37,4.8272,-74.072,PNH4,g/s,1.586776475e-08,1.13037008333e-08,1.08177846667e-08,1.13047220833e-08,1.51887910833e-08,3.01271734167e-08,5.17311983333e-08,5.887593825e-08,6.22391583333e-08,5.9145199e-08,6.14326305834e-08,6.158591025e-08,5.67777200833e-08,6.23306321667e-08,5.91344438333e-08,6.99941425834e-08,6.73607123333e-08,6.51534330833e-08,6.469784825e-08,6.30829969167e-08,5.646760025e-08,4.55908731667e-08,3.81242814167e-08,2.5085092e-08,1.586776475e-08,
42,39,4.728607,-74.05397,PNO3,g/s,6.36328977778e-08,4.53300888889e-08,4.33814533333e-08,4.53341822222e-08,6.09100711111e-08,1.20815951111e-07,2.07452368889e-07,2.36104186667e-07,2.49591377778e-07,2.37183982222e-07,2.4635704e-07,2.4697172e-07,2.27689942222e-07,2.49958213333e-07,2.37140857778e-07,2.80690404444e-07,2.70129822222e-07,2.61278195556e-07,2.59451231111e-07,2.52975333333e-07,2.26446284444e-07,1.82828453333e-07,1.52885928889e-07,1.00596204444e-07,6.36328977778e-08,
42,39,4.728607,-74.05397,PNA,g/s,6.36328977778e-09,4.53300888889e-09,4.33814533333e-09,4.53341822222e-09,6.09100711111e-09,1.20815951111e-08,2.07452368889e-08,2.36104186667e-08,2.49591377778e-08,2.37183982222e-08,2.4635704e-08,2.4697172e-08,2.27689942222e-08,2.49958213333e-08,2.37140857778e-08,2.80690404444e-08,2.70129822222e-08,2.61278195556e-08,2.59451231111e-08,2.52975333333e-08,2.26446284444e-08,1.82828453333e-08,1.52885928889e-08,1.00596204444e-08,6.36328977778e-09,
53,37,4.8272,-74.072,PSI,g/s,4.65454432666e-05,3.31575224444e-05,3.17321683556e-05,3.31605181111e-05,4.45537871778e-05,8.83730420223e-05,0.000151744848444,0.0001727027522,0.000182568197778,0.000173492583733,0.000180202383044,0.0001806520034,0.000166547978911,0.000182836521022,0.000173461035245,0.000205316151578,0.000197591422844,0.000191116737044,0.000189780354866,0.000185043457623,0.000165638294066,0.000133733227956,0.000111831225489,7.35829365333e-05,4.65454432666e-05,
42,39,4.728607,-74.05397,PAL,g/s,4.93154957778e-08,3.51308188889e-08,3.36206263333e-08,3.51339912222e-08,4.72053051111e-08,9.36323621111e-08,1.60775585889e-07,1.82980744667e-07,1.93433317778e-07,1.83817586222e-07,1.90926706e-07,1.91403083e-07,1.76459705222e-07,1.93717615333e-07,1.83784164778e-07,2.17535063444e-07,2.09350612222e-07,2.02490601556e-07,2.01074704111e-07,1.96055883333e-07,1.75495870444e-07,1.41692051333e-07,1.18486594889e-07,7.79620584444e-08,4.93154957778e-08,
42,39,4.728607,-74.05397,PH2O,g/s,3.18959900111e-07,2.27217070556e-07,2.17449534833e-07,2.27237588389e-07,3.05311731444e-07,6.05589954944e-07,1.03985499906e-06,1.18347223567e-06,1.25107678111e-06,1.18888471089e-06,1.234864663e-06,1.2379457465e-06,1.14129583539e-06,1.25291554433e-06,1.18866854961e-06,1.40696065228e-06,1.35402573389e-06,1.30965695522e-06,1.30049929594e-06,1.26803885833e-06,1.13506200078e-06,9.16427622333e-07,7.66340718556e-07,5.04238474778e-07,3.18959900111e-07,
42,39,4.728607,-74.05397,PCA,g/s,3.97705611111e-07,2.83313055556e-07,2.71134083333e-07,2.83338638889e-07,3.80687944444e-07,7.55099694444e-07,1.29657730556e-06,1.47565116667e-06,1.55994611111e-06,1.48239988889e-06,1.5397315e-06,1.54357325e-06,1.42306213889e-06,1.56223883333e-06,1.48213036111e-06,1.75431502778e-06,1.68831138889e-06,1.63298872222e-06,1.62157019444e-06,1.58109583333e-06,1.41528927778e-06,1.14267783333e-06,9.55537055556e-07,6.28726277778e-07,3.97705611111e-07,
42,39,4.728607,-74.05397,PCL,g/s,5.88604304444e-08,4.19303322222e-08,4.01278443333e-08,4.19341185556e-08,5.63418157778e-08,1.11754754778e-07,1.91893441222e-07,2.18396372667e-07,2.30872024444e-07,2.19395183556e-07,2.27880262e-07,2.28448841e-07,2.10613196556e-07,2.31211347333e-07,2.19355293444e-07,2.59638624111e-07,2.49870085556e-07,2.41682330889e-07,2.39992388778e-07,2.34002183333e-07,2.09462813111e-07,1.69116319333e-07,1.41419484222e-07,9.30514891111e-08,5.88604304444e-08,
53,37,4.8272,-74.072,PFE,g/s,6.08264315416e-05,4.33308531944e-05,4.14681745556e-05,4.33347679861e-05,5.82236991528e-05,0.000115487498098,0.000198302926944,0.000225691096625,0.000238583440278,0.000226723262833,0.000235491750569,0.000236079322625,0.000217647926986,0.000238934089972,0.000226682034695,0.000268310879903,0.000258216063944,0.000249754826819,0.000248008418291,0.000241818154848,0.000216459134291,0.000174765013806,0.000146143078764,9.61595193333e-05,6.08264315416e-05,
42,39,4.728607,-74.05397,PEC,g/s,1.038011645e-06,7.39447075e-07,7.076599575e-07,7.395138475e-07,9.93595535e-07,1.9708102025e-06,3.3840667675e-06,3.851449545e-06,4.07145935e-06,3.86906371e-06,4.018699215e-06,4.0287261825e-06,3.7141921825e-06,4.077443355e-06,3.8683602425e-06,4.5787622225e-06,4.406492725e-06,4.262100565e-06,4.2322982075e-06,4.126660125e-06,3.693905015e-06,2.982389145e-06,2.493951715e-06,1.640975585e-06,1.038011645e-06,
