ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
53,37,4.8272,-74.072,PNH4,g/s,1.77552213333e-08,1.01678399722e-08,9.17585525e-09,1.236580325e-08,3.48684490278e-08,1.29376712666e-07,2.07637480972e-07,1.59194238639e-07,1.65479393778e-07,1.58196257306e-07,1.67110867305e-07,1.61066459056e-07,1.62778936444e-07,1.73547269833e-07,1.8493283775e-07,1.89515764417e-07,1.88944522028e-07,1.91759978972e-07,1.74667498222e-07,1.67889355889e-07,1.52582097195e-07,1.21581086028e-07,7.08711347223e-08,3.436346175e-08,1.77552213333e-08,
42,39,4.728607,-74.05397,PNO3,g/s,1.05397583333e-08,6.03578333333e-09,5.44692083333e-09,7.34052916667e-09,2.06984416667e-08,7.67999333333e-08,1.232567e-07,9.45000666667e-08,9.823105e-08,9.39076541667e-08,9.91995e-08,9.56114625e-08,9.6628e-08,1.03020233333e-07,1.097789e-07,1.12499391667e-07,1.121602875e-07,1.13831579167e-07,1.03685225e-07,9.96616208333e-08,9.05750125e-08,7.21723416667e-08,4.20701583333e-08,2.03986666667e-08,1.05397583333e-08,
53,37,4.8272,-74.072,PSI,g/s,1.07465813333e-07,6.15421893056e-08,5.553807125e-08,7.484565125e-08,2.11045875694e-07,7.83069576667e-07,1.25675317431e-06,9.63544075972e-07,1.00158580444e-06,9.57503662639e-07,1.01146051264e-06,9.74875936389e-07,9.85240931111e-07,1.05041768583e-06,1.11933033375e-06,1.14706910042e-06,1.1436115807e-06,1.16065250431e-06,1.05719801556e-06,1.01617241722e-06,9.23523219861e-07,7.35885520694e-07,4.28956868056e-07,2.0798937375e-07,1.07465813333e-07,
42,39,4.728607,-74.05397,PAL,g/s,4.25103586111e-09,2.43443261111e-09,2.19692473611e-09,2.96068009722e-09,8.34837147222e-09,3.09759731111e-08,4.97135356667e-08,3.81150268889e-08,3.96198568333e-08,3.78760871806e-08,4.0010465e-08,3.8563289875e-08,3.89732933333e-08,4.15514941111e-08,4.42774896667e-08,4.53747546389e-08,4.5237982625e-08,4.59120702639e-08,4.18197074167e-08,4.01968537361e-08,3.65319217083e-08,2.91095111389e-08,1.69682971944e-08,8.22746222222e-09,4.25103586111e-09,
42,39,4.728607,-74.05397,PH2O,g/s,5.27690567222e-08,3.02191552222e-08,2.72709169722e-08,3.67515826944e-08,1.03630197944e-07,3.84511666222e-07,6.17105211333e-07,4.73130333778e-07,4.91810123667e-07,4.70164321861e-07,4.9665883e-07,4.7869472225e-07,4.83784186667e-07,5.15787968222e-07,5.49626359333e-07,5.63246954278e-07,5.6154917275e-07,5.69916773028e-07,5.19117359833e-07,4.98972514972e-07,4.53478895917e-07,3.61342857278e-07,2.10631259389e-07,1.02129324444e-07,5.27690567222e-08,
42,39,4.728607,-74.05397,PCA,g/s,7.86968622222e-09,4.50671822222e-09,4.06703422222e-09,5.48092844444e-09,1.54548364444e-08,5.73439502222e-08,9.20316693333e-08,7.05600497778e-08,7.33458506667e-08,7.01177151111e-08,7.406896e-08,7.1389892e-08,7.21489066667e-08,7.69217742222e-08,8.19682453333e-08,8.39995457778e-08,8.3746348e-08,8.49942457778e-08,7.74183013333e-08,7.44140102222e-08,6.76293426667e-08,5.38886817778e-08,3.14123848889e-08,1.52310044444e-08,7.86968622222e-09,
42,39,4.728607,-74.05397,PCL,g/s,5.48067433333e-08,3.13860733333e-08,2.83239883333e-08,3.81707516667e-08,1.07631896667e-07,3.99359653333e-07,6.4093484e-07,4.91400346667e-07,5.1080146e-07,4.88319801667e-07,5.158374e-07,4.97179605e-07,5.024656e-07,5.35705213333e-07,5.7085028e-07,5.84996836667e-07,5.83233495e-07,5.91924211667e-07,5.3916317e-07,5.18240428333e-07,4.70990065e-07,3.75296176667e-07,2.18764823333e-07,1.06073066667e-07,5.48067433333e-08,
53,37,4.8272,-74.072,PMOTHR,g/s,5.75642965334e-06,3.29652074889e-06,2.97490886e-06,4.00912358e-06,1.13047182111e-05,4.19452921067e-05,6.73182569889e-05,5.16124478955e-05,5.36501613511e-05,5.12888918422e-05,5.41791022422e-05,5.22194414622e-05,5.27746446577e-05,5.62658516933e-05,5.995717266e-05,6.14430057266e-05,6.12578029311e-05,6.21706037088e-05,5.66290415289e-05,5.44314964356e-05,4.94687220378e-05,3.94178678912e-05,2.29771678889e-05,1.114099602e-05,5.75642965334e-06,
53,37,4.8272,-74.072,PFE,g/s,4.29863253333e-07,2.46168757223e-07,2.22152285e-07,2.99382605e-07,8.44183502778e-07,3.13227830666e-06,5.02701269722e-06,3.85417630389e-06,4.00634321778e-06,3.83001465056e-06,4.04584205055e-06,3.89950374556e-06,3.94096372444e-06,4.20167074333e-06,4.477321335e-06,4.58827640167e-06,4.57444632278e-06,4.64261001722e-06,4.22879206222e-06,4.06468966889e-06,3.69409287945e-06,2.94354208278e-06,1.71582747223e-06,8.31957495e-07,4.29863253333e-07,
42,39,4.728607,-74.05397,PEC,g/s,1.54583122222e-06,8.85248222222e-07,7.98881722222e-07,1.07661094444e-06,3.03577144444e-06,1.12639902222e-05,1.80776493333e-05,1.38600097778e-05,1.44072206667e-05,1.37731226111e-05,1.454926e-05,1.40230145e-05,1.41721066667e-05,1.51096342222e-05,1.61009053333e-05,1.64999107778e-05,1.64501755e-05,1.66952982778e-05,1.52071663333e-05,1.46170377222e-05,1.32843351667e-05,1.05852767778e-05,6.17028988889e-06,2.99180444444e-06,1.54583122222e-06,
